"","iliad.txt","odyssey.txt"
"bard",10,26
"bare",15,3
"bargain",1,5
"bark",14,5
"barley",2,18
"barn",2,0
"barrd",1,0
"barren",6,5
"barrier",6,0
"barter",2,0
"base",20,5
"baseborn",1,0
"bash",1,0
"basi",4,0
"basil",1,0
"baskd",1,0
"basket",1,7
"bason",1,0
"basrelief",3,0
"basso",1,0
"bastard",2,0
"bateia",1,0
"bath",48,16
"bathest",1,0
"bathyclaeus",1,0
"batrachomyomachia",1,0
"battalion",7,0
"batterd",11,0
"battista",1,0
"battl",139,12
"battlement",7,1
"bay",10,2
"beach",4,15
"beacon",1,0
"beagl",2,0
"beak",1,2
"beaki",1,0
"beam",32,8
"beami",6,0
"bear",145,30
"beard",8,4
"beardless",1,0
"beast",9,6
"beat",44,17
"beaten",2,2
"beauteous",45,0
"beauti",48,55
"beautifi",2,1
"becam",8,14
"beck",1,1
"becom",19,24
"bed",55,93
"bedew",1,0
"bee",2,1
"beech",3,1
"beechen",1,0
"beechtre",2,0
"beeno",1,0
"beev",2,0
"befal",2,1
"befel",2,1
"befit",2,0
"befriend",1,1
"beg",6,34
"began",29,85
"begat",1,0
"beggd",4,0
"beggst",1,0
"begin",20,43
"begirt",1,0
"begon",1,0
"begot",3,0
"beguil",1,2
"begun",35,2
"behalf",1,2
"beheld",50,4
"behest",3,1
"behind",78,45
"behold",77,3
"behov",1,0
"bel",2,0
"belch",1,0
"beleaguerd",2,0
"beli",1,0
"belief",10,3
"believ",28,20
"bellerophon",5,0
"bellerophonteus",1,0
"belli",11,14
"bellona",3,0
"bellow",11,1
"belong",11,6
"belongd",1,0
"belov",20,1
"belt",20,2
"bemoan",1,0
"bemoand",1,0
"bend",96,4
"beneath",129,10
"benefactorsdoctrin",1,0
"benefici",1,0
"benevol",5,0
"benjamin",1,0
"bent",32,7
"bentley",4,0
"bequeath",2,0
"bereav",1,0
"berol",1,0
"beseem",1,0
"beset",5,0
"besid",45,31
"besieg",3,0
"besmeard",3,0
"besought",1,4
"bespeak",1,0
"bespok",14,0
"bessa",1,0
"best",54,82
"bestauthent",1,0
"bestbelov",2,0
"bestow",28,0
"bestowd",19,0
"bestrewd",1,0
"bestrewn",1,0
"bestrid",1,0
"bestrod",1,0
"bestrow",2,0
"bestrowd",1,0
"bet",1,0
"betak",1,0
"betim",1,0
"betrachtungen",1,0
"betray",7,2
"betrayst",1,0
"better",35,78
"betwixt",2,0
"beverag",1,0
"bewail",2,2
"bewaild",1,0
"bewar",4,1
"beyond",11,16
"bias",2,0
"bibl",2,0
"bibleeven",1,0
"bid",66,18
"bidden",2,4
"bienor",1,0
"bier",5,0
"big",11,3
"billow",21,0
"binari",1,1
"bind",10,8
"bindeth",1,0
"biograph",1,0
"biographi",2,0
"bird",25,18
"birth",41,6
"birthright",2,0
"bishop",1,0
"bit",4,6
"bitaub",1,0
"bite",4,0
"bitter",8,24
"black",69,17
"blackbrowd",1,0
"blacken",11,0
"blackend",3,0
"blackey",4,0
"bladder",2,0
"blade",12,4
"blair",1,0
"blame",17,7
"blameless",6,1
"blandish",2,1
"blast",10,0
"blaze",82,3
"bleak",3,1
"bleat",1,3
"bled",24,0
"bleed",71,4
"blemishelgin",1,0
"blend",4,0
"bless",19,28
"blessd",32,0
"blest",12,2
"blew",1,7
"blind",22,11
"blink",1,0
"bliss",2,3
"bloat",1,0
"block",1,0
"blockad",1,0
"blood",163,45
"bloodhound",1,0
"bloodi",42,1
"bloodier",1,0
"bloodless",2,1
"bloodshedwhich",1,0
"bloodstaind",1,0
"bloom",21,2
"blossom",1,3
"blot",3,1
"blow",63,21
"blown",5,0
"blue",9,7
"blueey",19,1
"bluehaird",1,0
"blunt",4,0
"blush",9,0
"blushd",2,0
"bluster",1,2
"boagrius",1,0
"boar",19,21
"board",8,53
"boast",64,3
"boaster",13,0
"boat",1,3
"bode",6,0
